item,date,value,demand
Aquarium (Gun),2025-07-21,8,
Aquarium (Gun),2025-08-03,7,
Aquarium (Gun),2025-08-11,5,
Aquarium (Gun),2025-08-14,3,
Aquarium (Gun),2025-08-22,2,
Aquarium (Gun),2025-08-26,1,
Aquarium (Gun),2025-09-17,0.8,
Aquarium (Gun),2025-11-24,0.6,2
Aquarium (Gun),2025-12-02,0.6,2
Aquarium (Gun),2025-12-04,0.6,2
Aquarium (Gun),2025-12-08,0.6,2
Aquarium (Gun),2025-12-21,0.6,2
Aquarium (Gun),2025-12-23,0.6,2
Aquarium (Gun),2025-12-24,0.6,2
Aquarium (Gun),2025-12-26,0.6,2
Aquarium (Gun),2025-12-28,0.6,2
Aquarium (Gun),2025-12-30,0.6,2
Aquarium (Gun),2026-01-15,0.6,2
Aquarium (Gun),2026-01-16,0.6,2
Aquarium (Gun),2026-02-19,0.6,2
Aquarium (Gun),2026-02-27,0.6,2
Aquarium (Gun),2026-02-28,0.6,2
Aquarium (Gun),2026-03-06,0.6,2
Aquarium (Gun),2026-03-09,0.6,2
Aquarium (Gun),2026-03-14,0.6,
Aquarium (Gun),2026-03-15,0.45,2
Aquarium (Gun),2026-04-14,0.45,2
Aquarium (Gun),2026-05-09,0.45,2
Aquarium (Gun),2026-05-14,0.45,2
Aquarium (Gun),2026-06-21,0.45,2
Aquarium (Gun),2026-06-22,0.45,2
Aquarium (Gun),2026-06-26,0.45,2
Aquarium (Gun),2026-07-02,0.45,2
Aquarium (Gun),2026-07-03,0.45,2
Aquarium (Gun),2026-07-05,0.45,2
Aquarium (Gun),2026-07-06,0.45,2
Aquarium (Gun),2026-07-09,0.45,2
Aquarium (Gun),2026-07-10,0.45,2
Aquarium (Gun),2026-07-12,0.45,2
Aquarium (Gun),2026-07-14,0.45,2
Aquarium (Gun),2026-07-17,0.45,2
Aquarium (Gun),2026-07-24,0.45,2
Aquarium (Gun),2026-07-27,0.45,2
Aquarium (Gun),2026-07-28,0.45,2
Aquarium (Gun),2026-07-30,0.45,2
Aquarium (Gun),2026-07-31,0.45,2
Aquarium (Gun),2026-08-03,0.45,2
Aquarium (Gun),2026-08-04,0.45,2
Aquarium (Gun),2026-08-05,0.45,2
Aquarium (Gun),2026-08-06,0.45,2
Aquarium (Gun),2026-08-07,0.45,2
Aquarium (Gun),2026-08-08,0.45,2
Aquarium (Gun),2026-08-09,0.45,2
Aquarium (Gun),2026-08-10,0.45,2
Aquarium (Gun),2026-08-11,0.45,2
Aquarium (Gun),2026-08-13,0.45,2
Aquarium (Gun),2026-08-14,0.45,2
Aquarium (Gun),2026-08-15,0.45,2
Aquarium (Gun),2026-08-16,0.45,2
Aquarium (Gun),2026-08-17,0.45,2
Aquarium (Gun),2026-08-18,0.45,2
Aquarium (Gun),2026-08-19,0.45,2
Aquarium (Gun),2026-08-20,0.45,2
Aquarium (Gun),2026-08-21,0.45,2
Aquarium (Gun),2026-08-22,0.45,2
Aquarium (Gun),2026-08-24,0.45,2
Aquarium (Gun),2026-08-25,0.45,2
Aquarium (Gun),2026-08-30,0.45,2
Aquarium (Gun),2026-09-02,0.45,2
Aquarium (Gun),2026-09-03,0.45,2
Aquarium (Gun),2026-09-04,0.45,2
Aquarium (Gun),2026-09-05,0.45,2
Aquarium (Gun),2026-09-06,0.45,2
Aquarium (Gun),2026-09-07,0.45,2
Aquarium (Gun),2026-09-12,0.45,2
Aquarium (Gun),2026-09-17,0.45,2
Aquarium (Gun),2026-09-18,0.45,2
Aquarium (Gun),2026-09-19,0.45,2
Aquarium (Gun),2026-09-20,0.45,2
Aquarium (Knife),2025-07-21,8,
Aquarium (Knife),2025-08-03,7,
Aquarium (Knife),2025-08-11,3,
Aquarium (Knife),2025-08-14,1,
Aquarium (Knife),2025-08-22,0.8,
Aquarium (Knife),2025-09-17,0.4,
Aquarium (Knife),2025-11-24,0.3,2
Aquarium (Knife),2025-12-02,0.3,2
Aquarium (Knife),2025-12-04,0.3,2
Aquarium (Knife),2025-12-08,0.3,2
Aquarium (Knife),2025-12-21,0.3,2
Aquarium (Knife),2025-12-23,0.3,2
Aquarium (Knife),2025-12-24,0.3,2
Aquarium (Knife),2025-12-26,0.3,2
Aquarium (Knife),2025-12-28,0.3,2
Aquarium (Knife),2025-12-30,0.3,2
Aquarium (Knife),2026-01-15,0.3,2
Aquarium (Knife),2026-01-16,0.3,2
Aquarium (Knife),2026-02-19,0.3,2
Aquarium (Knife),2026-02-27,0.3,2
Aquarium (Knife),2026-02-28,0.3,2
Aquarium (Knife),2026-03-06,0.3,2
Aquarium (Knife),2026-03-09,0.3,2
Aquarium (Knife),2026-03-15,0.3,1
Aquarium (Knife),2026-04-14,0.3,1
Aquarium (Knife),2026-05-09,0.3,1
Aquarium (Knife),2026-05-14,0.3,1
Aquarium (Knife),2026-06-21,0.3,1
Aquarium (Knife),2026-06-22,0.3,1
Aquarium (Knife),2026-06-26,0.3,1
Aquarium (Knife),2026-07-02,0.3,1
Aquarium (Knife),2026-07-03,0.3,1
Aquarium (Knife),2026-07-05,0.3,1
Aquarium (Knife),2026-07-06,0.3,1
Aquarium (Knife),2026-07-09,0.3,1
Aquarium (Knife),2026-07-10,0.3,1
Aquarium (Knife),2026-07-12,0.3,1
Aquarium (Knife),2026-07-14,0.3,1
